sentence,predicted,transformer,featurizer,correct_label
did you know you can tell how much a girl likes you by the position of their feet Chances are if her feet are next to her ears she really likes you.,0,1,1,1.0
"Critics are calling my performance of Wife Pretending To Care About Her Husband's Work Story ""emotionally charged"" and ""daring"".",0,1,1,1.0
Learning to love yourself is important. Just don't let your wife catch you doing it.,0,1,1,1.0
A study conducted by a group of scientists shows that women that have more than 25% body fat live longer than the men who mention it to them,0,1,1,1.0
"Being an adult means eating what you want when you want. But it also means realizing you're not capable of making healthy choices, so you get a personal trainer to make a meal plan for you. But when he does you say 'No one is telling me what to eat. Screw that guy. I'm an adult'.",0,1,1,1.0
"""You know the difference between me and you? ... I make this look good"" - Men in Black",0,1,1,1.0
"""He's not sleeping with you cause you're fat and ugly, so lose some weight and do your make up like this."" - Women's magazines, summarized.",0,1,1,1.0
"Your first instinct is gonna to be to spell ""leopard"" and ""deaf"" correctly. You're going to want to resist that.  Best band manager ever.",0,1,1,1.0
"Keep your friends close, keep your enemies closer, keep your stuffed animals closest.",0,1,1,1.0
People with gender dysphoria tend to be great businessmen. Every action they take is a trans-action.,0,1,1,1.0
Midnight Sky? Best Miley song ever?,1,1,1,0.0
My white hot take is that I love the Star Wars movies but I like the mandalorian more.,1,0,1,0.0
Ladies take him with you shopping and ask him to choose some outfits which he would like you to wear.,1,1,1,0.0
Welp time to watch Eastern Promises,1,1,1,0.0
To people like JK Rowling I have a serious question. . . Where are all of these hypothetical bathroom attacks from trans women?,1,0,1,0.0
"Correction: It is WORLD Prematurity Day. Women w/ increased risk: low income, African American OR birthing b4 17 yrs old or after 35 yo",1,0,1,0.0
Def missed my connecting flight due to some delays. So I guess I'm spending the night in DC! I need a drank,1,0,1,0.0
Are there Peloton message boards to talk about treadmill and strength workouts? I want online pals to discuss their favorite vids. 💪🏾🏃🏾‍♀️,1,1,1,0.0
"The rules for playing basketball in North Korea are different. Slam dunks are three points, ""nothing but net"" shots are four points and teams lose points when they miss free throws.",1,0,1,0.0
There are about ten states with laws that prohibit registered sex offenders from handing out candy or having Halloween lawn decorations on October 31st.,1,0,1,0.0
"But you wake up one day and you look around... and you dont recognize anything, not anything at all.",1,1,1,0.0
"I just kinda died for you, you just kinda stared at me",1,0,1,0.0
"You can have all the technology in the world, but still be living in the dark",1,1,1,0.0
"Black people are trendsetters. Big tobacco has used the black panthers, women's lib, hip-hop, our celebrities to sell. Don't let 'em use us.",1,0,1,0.0
Today is National Cold Cuts Day! What is your favorite deli sandwich? ¥ª,1,0,1,0.0
House reno question! Does anyone know of a good mosaic tile artist or website?,1,0,1,0.0
"There are earthquakes on the moon. They're called ""moonquakes.""",1,0,1,0.0
All I want for Christmas is you baby!,1,1,1,0.0
People just oughta stop being so awful to each other.,1,1,1,0.0
"I don’t care how many times I see it, I will NEVER comprehend the fact that people have to use GoFundMe for medical bills in this country.",1,0,1,0.0
"Arizona: ""There will be people lining up for you."" Callie: ""You wanna give me some names?"" Arizona: ""I think you'll know.""",1,0,1,0.0
People of all pronouns are hot.,1,0,1,0.0
Imagine how lame drag and Drag Race would be without the contributions of trans performers.,1,0,1,0.0
"""The crazy party girl thing? That's crap. Every girl who climbs on a table thinks she's the hottest girl. But really she's dancing alone.""",1,1,1,0.0
if she's old enough to bleed she's old enough to have decisions about her healthcare be in the hands of old white men,1,0,1,0.0
Why does greys always have the best music....,1,0,1,0.0
I scroll through twitter endlessly looking for something good or entertaining the same way I used to channels on the old TV set top box.,1,0,1,0.0
Mental health Myth or Fact: People with mental health problems can snap out of it if they try hard enough? NMMHAM What r other MH myths?,1,1,1,0.0
I never realized how easy and undemanding having one child was until we added a second child.,1,0,1,0.0
"""Latchkey incontinence"" is the phenomenon where the closer you get to a bathroom, the more you need to go. It's also referred to as Key-in-Lock Syndrome.",1,1,1,0.0
Hitler reportedly had such bad breath that people would involuntarily take a couple of steps back when he opened his mouth.,1,1,1,0.0
"Re: colorism, should black moms feel rejected if sons date/marry/prefer women w lighter skin than theirs?",1,0,1,0.0
I once got screamed at in 2012 by my boss for following an evacuation notice in the middle of hurricane season. He made me drive back through a tornado warning because there was a scheduled rally the next morning.,1,0,1,0.0
I’ve forgotten how to tell if pasta is done.,1,0,1,0.0
"Of what use is money when all you have is your health? HIV is no longer a death sentence, get treatment and be fine.",1,0,1,0.0
"The creator of Johnny Bravo, the creator of Powerpuff Girls, and the creator of Dexter's Laboratory were all roommates in college.",1,1,1,0.0
"On my recent trip to wherever, I couldn't believe how great that thing was.",1,0,1,0.0
1/4 Am I the only tweet iatric ian that refers to the infants I saw in my FIRST year of practice as 'my babies?' My babies are turning 14 this year and it seems like yesterday I was cuddling them as newborns ©. I still walk into the room expecting that squishy little face.,1,0,1,0.0
Finishing up my new video 'Mexican parents watch MEXvsGER' .... after I get these subtitles done for my pochito supporters I will upload !!! ,1,0,1,0.0
going to the mosque tomorrow for the first time in forever Eid Mubarak everyone,1,1,1,0.0
"Thai is a tonal language with 5 unique tones. When spoken with the proper inflections, the phrase ""Mai mai mai mai mai"" roughly translates to ""New wood doesn't burn, does it?""",1,1,1,0.0
"This is my favorite time of year: every Sunday, the boys come over, we order hot wings and watch ""Love Actually.""",1,0,1,0.0
"Hello Twitter, I'm gay and okay with it. I'm gay and I love myself I'm gay and still a man..",1,0,1,0.0
"Nicholas Cage almost played Neo, Willy Wonka and Superman.",1,0,1,0.0
Colorism is alive and well in the black comm'y. What's colorism really about?,1,0,1,0.0
If Laura Dern and Brad Pitt win best supporting actor I think they should have to go on a date too,1,1,1,0.0
