sentence,predicted,correct_label
"It's been proven that girls reach the age of puberty earlier than boys. Girls develop tits around the age of 13, boys around the age of 40",0,1
I'm leaving for two week and willl not have any internet service. Get me too 1000 followers by the next two weeks and ill save relationships,0,1
Homosexuality is found in over 450 species. Homophobia is only found in two. Help us get rid of the Ecuadorian fag-hating spider :(,0,1
"In the beginning, God created the heaven and the earth... After that, everything else was made in China.",0,1
"As an Queer parent, what's the best way to come out to your teenage children? Auntie Red Tweet Tea",0,1
"Pray like there's no tomorrow, and if tomorrow comes, pray some more",0,1
Hey all you \"FanFic\" writers out there...that look into the camera wasn't scripted. Just sayin. Wink Wink 200thEpisode,0,1
"My friend Ty came first in the Beijing marathon 5 years ago, but still has not been awarded a gold medal. China refuses to acknowledge Ty won.",0,1
"If you don't practice what you preach, that doesn't make you a hypocrite, as long as what you preach is hypocrisy.",0,1
"when she says to go do something, don't really go and do it",0,1
It takes patience to be single and patience to be married,0,1
"I HATE being bipolar, it's great.",0,1
This year keeps killing the wrong people.,0,1
These last 4 days have been some of the longest and darkest I can remember. Thanks to everyone for the thoughts and prayers while I was without a phone.,0,1
"31 Take her home to meet your parents, not your bed",0,1
"When we die, all the concert footage we've shot on our phones flashes before our eyes.",0,1
I only really like people when they leave me alone.,0,1
"The biggest surprise in the upcoming 'Han Solo' prequel is that he was born Henry Solowitz in Parsippany, NJ.",0,1
Inspirational Tweet: Always tell the people in your life how much you appreciate them. You don't want to live with regret wishing you had been nicer if something bad happens and you need to borrow money from them.,0,1
There is a fine line between love and iove.,0,1
The word \"stressed\" is \"desserts\" spelled backwards. ... and eating dessert can actually help relieve stress.,0,1
After 50 years of failed embargoes and isolation the US is about to unleash its most obnoxious weapon on Cuba to date...the American tourist.,0,1
A lot of woman actually turn into good drivers...so if you're a good driver watch out.,0,1
Thanks to everyone who sent their thoughts and prayers during my difficult time of slow internet last night.,0,1
Robert Pattinson once dealt with an obsessed fan by taking her out for dinner and complaining about his life. He says he's able to bore people in two minutes.,0,1
"Women love a man brimming with confidence. Because without that, what is there to destroy?",0,1
"Twitter won't inform someone that you've muted them, so make sure you tell them yourself.",0,1
"\"Humiliation makes you shorter. So yeah, I am scared of getting hurt, 'cause one more personal disaster now, would cut me off at the knees.\"",0,1
"Chemistry, either you've got it or you don't.",0,1
Envy is the burning desire to have everybody else become as pathetic as you,0,1
"I keep my head held high because I know there's a beautiful deaf, mute & blind woman out there that's going to find me irresistible one day.",0,1
"A cobweb is just a spiderweb that has bacon, hard-boiled egg, and cheese in it.",0,1
strongest human urges: 1. sexual reproduction 2. getting someone to feel a soft thing that you just felt to prove how soft it is 3. hydration,0,1
"In 1836, a sewer worker accidentally discovered an old drain that ran directly into the Bank of England's gold vault. He wrote the bank's directors, requesting a meeting in the vault at an hour of their choosing. He popped out of the floor to greet them.",0,1
Sometimes you have to cook ur own food and jerk off in front of your girl to show her that she can be replaced.,0,1
"Let's talk about sax, baby Let's talk about brass and reeds, Let's talk about all the woodwinds, strings, percussion, at the symphony.",0,1
Women prefer wireless bras because they're comfortable and they can connect to the internet.,0,1
"\"There's this baby, up in nursery. He's brand new. No one's neglected him or damaged him yet. How do we get from there to here?\"",0,1
Naming a child is hard. Do you name him something creative or original and risk that ruining his life? Or give him a normal name and let it be ruined by emotional baggage later on,0,1
"Some people bring blessings wherever they go, others whenever they go",0,1
A deaf person with one arm technically has a speech impediment,0,1
"Inspirational tweet: Don't spend too much time writing and reworking your tweets, because when you're done they're probably just going to suck anyway.",0,1
"Prison may be just one word. But to others, it's a whole sentence",0,1
"Scientist: our large brains are what allows us to survive so successfully 10,000 Year Old Tree: k",0,1
People that say \"God never gives you more than you can handle\" never met my ex-girlfriend.,0,1
"Sometimes when things go bad, I only have other people to blame. I love that.",0,1
I'm sending our Christmas cards. Can I get everyone's address and credit card number/expiry date?,0,1
The baby name \"Karen\" is predicted to go extinct in just a few years.,0,1
Most quotes attributed to Mark Twain were actually said by someone else' - Mark Twain,0,1
"On January 9, 1493, Christopher Columbus saw three mermaids and said they were \"Not half as beautiful as they are painted.\" They were manatees.",0,1
What is your favorite performance experience?Auntie Red Tweet Tea,0,1
The movie \"Moana\" was released as \"Oceania\" in Italy. Disney substituted the name because Moana is also a well-known Italian porn star.,0,1
You ever listen to someone talk but then realize you ain't really listening,0,1
Statistics show that vegetarians live on average ten years longer than meat eaters. Ten long miserable years.,0,1
"Children get all their energy by leaching it directly from their parents. The more energetic the child, the more exhausted the parent. Look it up, it's science.",0,1
"I don't have unrealistic expectations for life, I just wish everything went right for me all the time, that's all.",0,1
Good morning to ace twitter only,0,1
If she's not ruining your life.....She's just not that into you.,0,1
thank god our app has the explore feature so i can search for my own London Boy 😼🇬🇧,0,1
Cotton Candy was invented by a dentist.,0,1
Unvaccinated children are less likely to be autistic because they are more likely to be dead,0,1
"It was said in the news that one in four women are on antidepressants or antipsychotics. That is a terrible statistic, it means three quarters of women aren't getting the treatment they need.",0,1
It costs $6 to visit the grave of Karl Marx.,0,1
So I saw that Princess Diana is trending on tumblr. She's all over the dashboard!,0,1
My Dad passed away last year when my family couldn't remember his blood type in time for the doctors to give him a blood transfusion. As he was dying he kept saying 'be positive' but it's really hard without him.,0,1
\"Allahu Akbar\" actually has two meanings. The first meaning is.... 'God is Great' And the second meaning is.... \"Run like fuck\",0,1
I've heard that it's possible to grow up - I've just never met anyone who's actually done it.,0,1
Origami was invented by a young Japanese child trying to hide his report card.,0,1
Some people have no empathy at all. I'm not even gonna try to understand what it's like to be that kind of person.,0,1
Betty White is older than sliced bread. The first sliced commercial bread loaves were produced in 1928; Betty White was born in 1922.,0,1
Our attention spans these days are,0,1
"when life gives you lemons, use their natural acidity to temporarily blind your opponent",0,1
"Instead of staying up late and enjoying myself, I prefer to go to bed early and get a full night of laying awake worrying.",0,1
Smell is such an amazing trigger for memories. Like how the smell of pizza can instantly transport you back to a time you ate pizza. Incredible.,0,1
5 out of 6 scientists say Russian Roulette is safe.,0,1
"Accordion to a recent survey, replacing words with the names of musical instruments in a sentence often goes undetected.",0,1
"Smile now, cause the worst is yet to come.",0,1
when she sends you text asking you if you are busy in the middle of the conversation it means that you are not paying attention,0,1
Open concept homes are popular with married couples because they allow things to be yelled from the across the house without walls getting in the way.,0,1
"Drink plenty of water. The most common cause of kidney stones is not drinking enough fluids, especially water. kidney water",0,1
"In 1990, Mr. Rogers sued the Ku Klux Klan for pretending to be him.",0,1
Queen Elizabeth II is the only person in Britain who can drive without a license because licenses are issued in the queen's name. She doesn't need to give herself one.,0,1
"Mohammed spent a lot of time up mountains, slaying goats and raping children, Jesus spent a lot of time around the docks and managed to feed the 5000 on fish. And that, people, is the difference between gross prophet and net prophet.",0,1
"Build a man a fire and he'll be warm for a night, set a man on fire and he'll be warm for the rest of his life.",0,1
"Success is 50% inspiration, 50% perspiration, and 50% THE SECRET PERCENTAGE INCREASER MACHINE.",0,1
What are some ways that the community can organize to support aging queer elders? Auntie Red Tweet Tea,0,1
"According to Nintendo, Wario is not Mario's evil twin. They were actually childhood friends until Wario became jealous of Mario's good looks and advanced plumbing skills.",0,1
"Gay or straight, No state should legally recognize a marriage if they don't serve alcohol at the wedding.",0,1
"It is said that the Welsh were the first to use condoms, by making them out of sheep intestines. But the English perfected this technique by removing them from the sheep first.",0,1
Shout-out to our moms that be coming in clutch as grandmas to help us out with the twins. Alsoâ y'all be driving us crazy!!! Lol Love you,0,1
You get one McDonald's fry per order that is longer than any potato that's ever existed.,0,1
Racism is a subjective matter there are no black and white solutions,0,1
"The best assemble-yourself furniture comes with a few spare screws, spare bolts, and a pint of O-positive blood.",0,1
"A man filed a report to the police that his bag was stolen. Upon leaving the man's apartment, the officer found the man's bag at the bottom of the stairwell. It was a brief case.",0,1
"In Indiana, a 94-year-old woman has worked at McDonald's for the past 44 years. And she's almost finished paying off her student loans.",0,1
"I'm so proud of my self, I decided I'm going to stop procrastinating and do something with my life! Starting tomorrow...",0,1
By legalizing Cannabis and; same-sex marriage we interpreted the bible correctly. \"A man who lays with another man should be stoned.\",0,1
Misha Collins close ur robe...seriously. Family show. Come on!,0,1
Happy Thanksgiving everyone. Let the gluttony begin. Go Cowboys,0,1
When in fact this is a condition doctors are calling “Chromatica sickness”.,1,0
Just learned there's people who don't clean their sinks regularly!!!,1,0
"In a room with 23 people, there's a 50-50 chance of at least two people having the same birthday. In a room with 75 people, there's a 99.9% chance.",1,0
"The government had recently seized my pet jaguars (Bitey and The Claw) citing the Endangered Animals Protection Law. The only thing they were in danger of was getting too much kobe beef. I was furious, but, like a swordmaker, I used the fire to tame steel.",1,0
"Dogs are vulnerable when pooping, so they often look to their owners for visual cues. ... this is why they stare at you.",1,0
Say it with me: The USPS is literally written into the Constitution.,1,0
Sometimes when I'm debating with someone about human rights and social issues I think about global warming and think to myself \"In 100 years this whole planet is fucked!\",1,0
"‘Cause no one is wondering if Ava Duvernay or Awkafina or Reese or Michaela Cole has imposter syndrome, dude. We just think they’re awesome.",1,0
Wanting to know how to do ________ without appearing needy IS being needy because you want to do it. Start over.,1,0
Anybody catch that move with the purse? You can't teach that. Supernatura I,1,0
Like if i had information i could dismiss from my brain it would be this,1,0
"Muslim woman, 19, wearing a hijab says Starbucks barista wrote 'ISIS' on her cup. She was so disgusted, she dropped her backpack and stormed out.",1,0
"Haha...ad libs, ad libs. Love when they leave those in the show.",1,0
"Wow, at first I thought this Dennis Quaid thing had to be a mistake and they were talking about Randy Quaid, but nope, I guess the whole family's a little funny.",1,0
Just watched a documentary that had full cooperation of the subject and it made him look HORRIBLE. Never seen that before. Remarkable,1,0
"Remember when we were little and we would accidentally bite a kid on the playground, our teachers would go \"say your sorry\" and we would...",1,0
When a comedy writer prefaces their statement in a writers room with “Just to say it...” it means “I’m about to unravel the work we all did for the past few hours.” PLEASE CAN WE PHASE OUT THIS PHRASE,1,0
\" I recently met this dude. Anytime it's time for a date something comes up. We've missed 4 dates so far. Is he serious about this or it's me being desperate?\" - Copied,1,0
“An historic” is technically correct but feels pretentious. What else is correct but too fancy,1,0
Webber: Go be a damn doctor. People are dying. Now go save a life. Right now.,1,0
The tragic foolishness of most of us men is thinking our treasure is between our legs when INDEED it is between our ears.,1,0
Did you know some people have me blocked? 😬,1,0
woman holding her infant son and watching her young daughter while smoking !!! ... Off Lamar and 10th WTF?!!!! Cigs and kids no Bueno,1,0
I remember checking Google stock like 5 years ago and it was around $500. Today it is $1488.,1,0
One of the best scenes you can do as an actor is crying against a locked door and then sliding down the door. It's called 'going door to floor' and they teach it at Juilliard.,1,0
What's so amazing about Love at first sight? It's when people have been looking at each other for years that it becomes remarkable.,1,0
He's very dreamy. But he's not the sun... You are.,1,0
How do you feel about the gay struggle being compared to the black struggle? Auntie Red Tweet Tea,1,0
unless you find a girl that is a gamer she really doe snot like the video games that you play for hours,1,0
"I think everyone comes off great in The Last Dance except maybe Jerry Krause, between the insanely unflattering photos and the short jokes. I mean, those photos are BAD. Michael and Scotty looking like legit statues and one pic of Jerry eating a sundae shot from below",1,0
"I'm a surgeon I do the rescuing, you are not my night in shining whatever.",1,0
"In Hawaii, people are legally allowed to throw their loved one's ashes into a volcano. They just have to do it discreetly and pay $25 for a permit.",1,0
Feeling embarrassed about asking a girl for her number when people are around comes from a lack of self-esteem. Best you start there.,1,0
"MY CHILDHOOD BULLY: Hey, Nate! How are you? ME: [riding a beautiful horse] I'm obviously doing pretty fucking good, Carly. *The alarm clock blares and yanks me back into reality. I lay in bed wondering how one is to distinguish between a reoccurring dream and a prophecy.*",1,0
To my friends in Greece. Someone is claiming that I am appearing at an event in Athens which is not and has never been true. Tickets are being sold with the promise of my presence.,1,0
I passed my written drivers test! My recipe for success was taking 20 back-to-back online tests and reading the entire California Driver Handbook slowly. grind yay,1,0
\"Flammable\" and \"inflammable\" mean the same thing.,1,0
"Quick q: this not-very-famous loser is on Cameo, and was rude to me on Twitter, can I pay him to shoot an apology video to me?",1,0
People will give you acting notes like: 'Don't use your legs so much' and 'What are you doing with your legs?' Ignore it. Classic case of jealousy.,1,0
A counselor caseload of 400 students???? There 's no way a counselor can be expected to work well in that kind of setup. problem areas afropunk solution sessions,1,0
"Just when I thought nothing good was going to happen this summer, Coca Cola comes out with new flavours of Coke Zero and saves the day.",1,0
"I bumped into two guys at the washroom today while church was ongoing. They were kissing. Though stunned, I just smiled at them. I just wish them well, they make a lovely couple.",1,0
Sometimes I see an exchange on twitter that is so vicious I need to log off for a few days,1,0
Most of these tech companies fall prey to the algorithm. They spend so much time mapping human behavior that they forget how to make their platforms ACTUALLY human. I think the algorithm may be coaxing them into an AI apocalypse.,1,0
You think millennials are messed up? Wait to see how the next generation turns out after they realize they've been peddled online by their parents for likes and views their entire childhood.,1,0
What do happy gay couples do everyday? ¤. Let's share our experiences,1,0
"Guns don't kill people. Americans who think guns don't kill people, do.",1,0
The day the season finale airs I will be drinking a lot of tequila while eating chocolate and pizza! Oh and I'll be wiping my tears away!,1,0
Who was the last man to stand on the moon? Gene Cernan. Gone now. God speed. Han,1,0
The term \"Wi-Fi\" doesn't actually stand for anything. It was made up to sound catchy.,1,0
Apoplectic. Just saw Neil Young in the Drs office. He sat right next to me in the waiting room. I froze up. Panicked. And said nothing. Still recovering. fangirl,1,0
"If you want to buy a car in Japan, you must first prove that you have someplace to park it.",1,0
"If you're looking for faults use a mirror, not a telescope",1,0
I just cannot for the life of me understand tweeting about a 7 year old child's appearance,1,0
Lonely and awkward people are waiting to talk to you on Twitter right now,0,1
"U2 are one of Ireland's most successful bands. Or according to their tax returns, one of Netherlands' least successful hardware store owners.",0,1
"I can't never remember if I'm lisdexic Or epileptikjlfasd,md,.dsaf-aaaaafddasfrwe",0,1
I met this amazing girl while speed dating. We stayed up all night and day just talking and giggling and I guess speed will do that to you.,0,1
*writes inspirational post about not letting the behaviour of others determine your happiness *gets upset when no one retweets it,0,1
The way to her heart: make her a bomb as sopita with limon and tapatio,0,1
Hv trouble accepting help/support? Feel bottled up inside and ready to blow? Suffering in silence? You're probably a classic Strong Black Woman,0,1
When you smoke marijuana on a boat it's called sea weed. Thanks for following and stay tuned for more of these great tweets.,0,1
Michelle’s speech will be the ASMR video that lulls me to sleep for the next year.,0,1
"In 2015, a Singapore Airlines cargo plane had to make an emergency landing after its load of 2,000 farting sheep set off a fire alarm.",0,1
"Today's recipe for increasing anxiety: Bach's Brandenburg Concertos P.G. Wodehouse's Mulliner Nights Susanna Clarke's Jonathan Strange and Mr Norrell Louis Armstrong's Hot 5 Listening to Amy Poehler read her memoir \"Yes, Please.\" Not all at once obviously. That would be chaos.",0,1
"In 2011, Queen Elizabeth II agreed to act in a James Bond skit with Daniel Craig for the Olympics, breaking royal protocol. When asked if she wanted a speaking part, she replied, \"Of course I must say something. After all, he is coming to rescue me.\"",0,1
take more than 5 minutes to respond to a text and she will think you are not paying attention to her,0,1
What wine pairs best with doing your taxes?,0,1
"Years from now, historians will look back on this period of American History and move to Canada.",0,1
"Justice is best served cold. Because if it were served warm, it would be justwater.",0,1
"On a previous episode, a female listener left a voicemail and had something to say about the advice. Basically she says none of it's necessary and you'll do better if you \"just be yourself\". So you'll hear her voicemail and then my response to the worst dating advice ever given.",0,1
did you know you can tell how much a girl likes you by the position of their feet Chances are if her feet are next to her ears she really likes you.,0,1
Nothing beats a pretty girl with a beautiful singing voice except for Chris Brown,0,1
Learning to love yourself is important. Just don't let your wife catch you doing it.,0,1
A study conducted by a group of scientists shows that women that have more than 25% body fat live longer than the men who mention it to them,0,1
"You never hear parents say they regret having kids, but you also never see them smile, laugh, or be happy either.",0,1
"If you don't remember her name in the morning, take her to Starbucks.",0,1
Met gayla.,0,1
"Keep your friends close, keep your enemies closer, keep your stuffed animals closest.",0,1
The Old Testament is the historical record of the first time we Jews controlled the media.,0,1
"Sins are like viruses, it's better you keep them to yourself",0,1
My white hot take is that I love the Star Wars movies but I like the mandalorian more.,1,0
To people like JK Rowling I have a serious question. . . Where are all of these hypothetical bathroom attacks from trans women?,1,0
Def missed my connecting flight due to some delays. So I guess I'm spending the night in DC! I need a drank,1,0
"The rules for playing basketball in North Korea are different. Slam dunks are three points, \"nothing but net\" shots are four points and teams lose points when they miss free throws.",1,0
Whats the best and worst job you had? Auntie Red Tweet Tea,1,0
There are earthquakes on the moon. They're called \"moonquakes.\",1,0
Arizona: \"There will be people lining up for you.\" Callie: \"You wanna give me some names?\" Arizona: \"I think you'll know.\",1,0
Imagine how lame drag and Drag Race would be without the contributions of trans performers.,1,0
\"The crazy party girl thing? That's crap. Every girl who climbs on a table thinks she's the hottest girl. But really she's dancing alone.\",1,0
if she's old enough to bleed she's old enough to have decisions about her healthcare be in the hands of old white men,1,0
I scroll through twitter endlessly looking for something good or entertaining the same way I used to channels on the old TV set top box.,1,0
I never realized how easy and undemanding having one child was until we added a second child.,1,0
I once got screamed at in 2012 by my boss for following an evacuation notice in the middle of hurricane season. He made me drive back through a tornado warning because there was a scheduled rally the next morning.,1,0
I’ve forgotten how to tell if pasta is done.,1,0
1/4 Am I the only tweet iatric ian that refers to the infants I saw in my FIRST year of practice as 'my babies?' My babies are turning 14 this year and it seems like yesterday I was cuddling them as newborns ©. I still walk into the room expecting that squishy little face.,1,0
"This is my favorite time of year: every Sunday, the boys come over, we order hot wings and watch \"Love Actually.\"",1,0
"Two close friends annouced their new bfs to me. They wanted to celebrate it so I invited to dinner. Turns out, their bfs were all my exes. We smiled, laughed and had a good time. No jealousy, no feeling bad - just fun. It's called maturity. Exes are just that...exes.",1,0
Colorism is alive and well in the black comm'y. What's colorism really about?,1,0
If Laura Dern and Brad Pitt win best supporting actor I think they should have to go on a date too,1,0
